#Clio 3.9um Filter Curve
#Digitized from JDSU scan.  Datathief output smoothed and interpolated.
       3.8000000  0.
       3.8010000  8.22702e-06
       3.8020000  1.64531e-05
       3.8030000  2.46813e-05
       3.8040000  0.000646081
       3.8050000  0.000654147
       3.8060000  0.000662212
       3.8070000  0.000671227
       3.8080000  0.000679292
       3.8090000  0.000235512
       3.8100000  8.22724e-05
       3.8110000  9.04994e-05
       3.8120000  9.87261e-05
       3.8130000  0.000106954
       3.8140000  0.000195835
       3.8150000  0.000454023
       3.8160000  0.000470631
       3.8170000  0.000479171
       3.8180000  0.000519503
       3.8190000  0.000801919
       3.8200000  0.000713579
       3.8210000  0.000511359
       3.8220000  0.000520374
       3.8230000  0.000690296
       3.8240000  0.000762924
       3.8250000  0.000512797
       3.8260000  0.000521501
       3.8270000  0.000771220
       3.8280000   0.00133603
       3.8290000   0.00165862
       3.8300000   0.00170020
       3.8310000   0.00201495
       3.8320000   0.00268447
       3.8330000   0.00272556
       3.8340000   0.00268463
       3.8350000   0.00303206
       3.8360000   0.00314492
       3.8370000   0.00285436
       3.8380000   0.00239462
       3.8390000   0.00253191
       3.8400000   0.00265444
       3.8410000   0.00282351
       3.8420000   0.00375180
       3.8430000   0.00464701
       3.8440000   0.00534916
       3.8450000   0.00572856
       3.8460000   0.00636667
       3.8470000   0.00700383
       3.8480000   0.00736708
       3.8490000   0.00789163
       3.8500000   0.00888968
       3.8510000   0.00970545
       3.8520000    0.0103953
       3.8530000    0.0114655
       3.8540000    0.0125562
       3.8550000    0.0136509
       3.8560000    0.0151401
       3.8570000    0.0169369
       3.8580000    0.0190195
       3.8590000    0.0202235
       3.8600000    0.0223117
       3.8610000    0.0243038
       3.8620000    0.0257921
       3.8630000    0.0272706
       3.8640000    0.0292716
       3.8650000    0.0318430
       3.8660000    0.0345922
       3.8670000    0.0372642
       3.8680000    0.0414913
       3.8690000    0.0452608
       3.8700000    0.0500158
       3.8710000    0.0541997
       3.8720000    0.0592182
       3.8730000    0.0685041
       3.8740000    0.0738993
       3.8750000    0.0801351
       3.8760000    0.0865806
       3.8770000    0.0954304
       3.8780000     0.104423
       3.8790000     0.112953
       3.8800000     0.123981
       3.8810000     0.135609
       3.8820000     0.147335
       3.8830000     0.160785
       3.8840000     0.172817
       3.8850000     0.187170
       3.8860000     0.202510
       3.8870000     0.214896
       3.8880000     0.236692
       3.8890000     0.254330
       3.8900000     0.271436
       3.8910000     0.293093
       3.8920000     0.315684
       3.8930000     0.334582
       3.8940000     0.359048
       3.8950000     0.380260
       3.8960000     0.402157
       3.8970000     0.423239
       3.8980000     0.447892
       3.8990000     0.474234
       3.9000000     0.494491
       3.9010000     0.518241
       3.9020000     0.545055
       3.9030000     0.561844
       3.9040000     0.586448
       3.9050000     0.604304
       3.9060000     0.624200
       3.9070000     0.644068
       3.9080000     0.661459
       3.9090000     0.676961
       3.9100000     0.694993
       3.9110000     0.708025
       3.9120000     0.719588
       3.9130000     0.727556
       3.9140000     0.739890
       3.9150000     0.746206
       3.9160000     0.752445
       3.9170000     0.758537
       3.9180000     0.763823
       3.9190000     0.770683
       3.9200000     0.774933
       3.9210000     0.777572
       3.9220000     0.779382
       3.9230000     0.780067
       3.9240000     0.780704
       3.9250000     0.781276
       3.9260000     0.781863
       3.9270000     0.782323
       3.9280000     0.783106
       3.9290000     0.784106
       3.9300000     0.784922
       3.9310000     0.784855
       3.9320000     0.784400
       3.9330000     0.784665
       3.9340000     0.785202
       3.9350000     0.785455
       3.9360000     0.786206
       3.9370000     0.787694
       3.9380000     0.789553
       3.9390000     0.790700
       3.9400000     0.791441
       3.9410000     0.792149
       3.9420000     0.793451
       3.9430000     0.794596
       3.9440000     0.796053
       3.9450000     0.797966
       3.9460000     0.800835
       3.9470000     0.803714
       3.9480000     0.805778
       3.9490000     0.807779
       3.9500000     0.810257
       3.9510000     0.812563
       3.9520000     0.814775
       3.9530000     0.817325
       3.9540000     0.820321
       3.9550000     0.823808
       3.9560000     0.826294
       3.9570000     0.828434
       3.9580000     0.829669
       3.9590000     0.830323
       3.9600000     0.830526
       3.9610000     0.830175
       3.9620000     0.829680
       3.9630000     0.829210
       3.9640000     0.828924
       3.9650000     0.828306
       3.9660000     0.826967
       3.9670000     0.824751
       3.9680000     0.820923
       3.9690000     0.815624
       3.9700000     0.810322
       3.9710000     0.799120
       3.9720000     0.790427
       3.9730000     0.781856
       3.9740000     0.769528
       3.9750000     0.754951
       3.9760000     0.740852
       3.9770000     0.725751
       3.9780000     0.707878
       3.9790000     0.691087
       3.9800000     0.665056
       3.9810000     0.642330
       3.9820000     0.618088
       3.9830000     0.586663
       3.9840000     0.560526
       3.9850000     0.529471
       3.9860000     0.504403
       3.9870000     0.471036
       3.9880000     0.445984
       3.9890000     0.413741
       3.9900000     0.385875
       3.9910000     0.356949
       3.9920000     0.337040
       3.9930000     0.303775
       3.9940000     0.281878
       3.9950000     0.250161
       3.9960000     0.230240
       3.9970000     0.206851
       3.9980000     0.194609
       3.9990000     0.180334
       4.0000000     0.160201
       4.0010000     0.147219
       4.0020000     0.134182
       4.0030000     0.120948
       4.0040000     0.109512
       4.0050000    0.0978404
       4.0060000    0.0903572
       4.0070000    0.0787825
       4.0080000    0.0712705
       4.0090000    0.0661916
       4.0100000    0.0615247
       4.0110000    0.0577047
       4.0120000    0.0536611
       4.0130000    0.0486983
       4.0140000    0.0420275
       4.0150000    0.0375035
       4.0160000    0.0331370
       4.0170000    0.0305340
       4.0180000    0.0281669
       4.0190000    0.0263335
       4.0200000    0.0244746
       4.0210000    0.0229411
       4.0220000    0.0214529
       4.0230000    0.0197446
       4.0240000    0.0175711
       4.0250000    0.0159415
       4.0260000    0.0139320
       4.0270000    0.0123622
       4.0280000    0.0105957
       4.0290000    0.0100413
       4.0300000    0.0100433
       4.0310000   0.00961809
       4.0320000   0.00928778
       4.0330000   0.00911840
       4.0340000   0.00878849
       4.0350000   0.00759862
       4.0360000   0.00618652
       4.0370000   0.00551741
       4.0380000   0.00518687
       4.0390000   0.00454858
       4.0400000   0.00408884
       4.0410000   0.00392063
       4.0420000   0.00392900
       4.0430000   0.00359767
       4.0440000   0.00275093
       4.0450000   0.00220987
       4.0460000   0.00184719
       4.0470000   0.00195147
       4.0480000   0.00208894
       4.0490000   0.00230815
       4.0500000   0.00270364
       4.0510000   0.00290479
       4.0520000   0.00260686
       4.0530000   0.00196902
       4.0540000   0.00139671
       4.0550000  0.000887986
       4.0560000  0.000509545
       4.0570000  0.000323581
       4.0580000  0.000461292
       4.0590000   0.00103388
       4.0600000   0.00147839
       4.0610000   0.00150226
       4.0620000   0.00136571
       4.0630000   0.00124439
       4.0640000  0.000994955
       4.0650000  0.000437860
       4.0660000      0.00000
       4.0670000      0.00000
       4.0680000      0.00000
       4.0690000  2.68403e-06
       4.0700000  4.36322e-05
       4.0710000  8.36878e-05
       4.0720000  9.23999e-05
       4.0730000  3.31469e-06
       4.0740000      0.00000
       4.0750000      0.00000
       4.0760000      0.00000
       4.0770000      0.00000
       4.0780000      0.00000
       4.0790000      0.00000
       4.0800000  2.91175e-05
